country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
India,IN,2022-08-21,Films,1,Shabaash Mithu (Hindi),,2
India,IN,2022-08-21,Films,2,Darlings,,3
India,IN,2022-08-21,Films,3,Nikamma,,1
India,IN,2022-08-21,Films,4,Day Shift,,2
India,IN,2022-08-21,Films,5,Sherdil: The Pilibhit Saga,,1
India,IN,2022-08-21,Films,6,The Next 365 Days,,1
India,IN,2022-08-21,Films,7,Jaadugar,,6
India,IN,2022-08-21,Films,8,RRR (Hindi),,13
India,IN,2022-08-21,Films,9,Forrest Gump,,2
India,IN,2022-08-21,Films,10,Godzilla vs. Kong,,1
India,IN,2022-08-21,TV,1,Never Have I Ever,Never Have I Ever: Season 3,2
India,IN,2022-08-21,TV,2,The Sandman,The Sandman: Season 1,3
India,IN,2022-08-21,TV,3,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,5
India,IN,2022-08-21,TV,4,Locke & Key,Locke & Key: Season 3,2
India,IN,2022-08-21,TV,5,Indian Matchmaking,Indian Matchmaking: Season 2,2
India,IN,2022-08-21,TV,6,Stranger Things,Stranger Things 4,13
India,IN,2022-08-21,TV,7,Manifest,Manifest: Season 1,7
India,IN,2022-08-21,TV,8,Brooklyn Nine-Nine,Brooklyn Nine-Nine: Season 8,1
India,IN,2022-08-21,TV,9,Never Have I Ever,Never Have I Ever: Season 1,4
India,IN,2022-08-21,TV,10,Never Have I Ever,Never Have I Ever: Season 2,7
India,IN,2022-08-14,Films,1,Darlings,,2
India,IN,2022-08-14,Films,2,Shabaash Mithu (Hindi),,1
India,IN,2022-08-14,Films,3,Wedding Season,,2
India,IN,2022-08-14,Films,4,Day Shift,,1
India,IN,2022-08-14,Films,5,Carter,,2
India,IN,2022-08-14,Films,6,Jaadugar,,5
India,IN,2022-08-14,Films,7,Pakka Commercial,,2
India,IN,2022-08-14,Films,8,Happy Birthday,,1
India,IN,2022-08-14,Films,9,RRR (Hindi),,12
India,IN,2022-08-14,Films,10,Forrest Gump,,1
India,IN,2022-08-14,TV,1,The Sandman,The Sandman: Season 1,2
India,IN,2022-08-14,TV,2,Never Have I Ever,Never Have I Ever: Season 3,1
India,IN,2022-08-14,TV,3,Locke & Key,Locke & Key: Season 3,1
India,IN,2022-08-14,TV,4,Indian Matchmaking,Indian Matchmaking: Season 2,1
India,IN,2022-08-14,TV,5,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,4
India,IN,2022-08-14,TV,6,Stranger Things,Stranger Things 4,12
India,IN,2022-08-14,TV,7,Masaba Masaba,Masaba Masaba: Season 2,3
India,IN,2022-08-14,TV,8,Manifest,Manifest: Season 1,6
India,IN,2022-08-14,TV,9,Manifest,Manifest: Season 3,5
India,IN,2022-08-14,TV,10,Manifest,Manifest: Season 2,6
India,IN,2022-08-07,Films,1,Darlings,,1
India,IN,2022-08-07,Films,2,Morbius,,1
India,IN,2022-08-07,Films,3,Pakka Commercial,,1
India,IN,2022-08-07,Films,4,The Gray Man,,3
India,IN,2022-08-07,Films,5,Wedding Season,,1
India,IN,2022-08-07,Films,6,Purple Hearts,,1
India,IN,2022-08-07,Films,7,Jaadugar,,4
India,IN,2022-08-07,Films,8,Carter,,1
India,IN,2022-08-07,Films,9,The Core,,1
India,IN,2022-08-07,Films,10,RRR (Hindi),,11
India,IN,2022-08-07,TV,1,Masaba Masaba,Masaba Masaba: Season 2,2
India,IN,2022-08-07,TV,2,The Sandman,The Sandman: Season 1,1
India,IN,2022-08-07,TV,3,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,3
India,IN,2022-08-07,TV,4,Stranger Things,Stranger Things 4,11
India,IN,2022-08-07,TV,5,Manifest,Manifest: Season 1,5
India,IN,2022-08-07,TV,6,Manifest,Manifest: Season 2,5
India,IN,2022-08-07,TV,7,Manifest,Manifest: Season 3,4
India,IN,2022-08-07,TV,8,Keep Breathing,Keep Breathing: Limited Series,2
India,IN,2022-08-07,TV,9,Masaba Masaba,Masaba Masaba: Season 1,1
