country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
Japan,JP,2022-08-21,Films,1,Day Shift,,2
Japan,JP,2022-08-21,Films,2,Mumon: The Land of Stealth,,1
Japan,JP,2022-08-21,Films,3,The Hunt,,2
Japan,JP,2022-08-21,Films,4,Leaving the Scene,,2
Japan,JP,2022-08-21,Films,5,Blood Red Sky,,4
Japan,JP,2022-08-21,Films,6,Look Both Ways,,1
Japan,JP,2022-08-21,Films,7,Malignant,,1
Japan,JP,2022-08-21,Films,8,The Blue Sky You Have Lost,,1
Japan,JP,2022-08-21,Films,9,The Gray Man,,5
Japan,JP,2022-08-21,Films,10,Top Gun,,3
Japan,JP,2022-08-21,TV,1,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,7
Japan,JP,2022-08-21,TV,2,Alchemy of Souls,Alchemy of Souls: Season 1,9
Japan,JP,2022-08-21,TV,3,Itaewon Class,Itaewon Class: Season 1,56
Japan,JP,2022-08-21,TV,4,A Model Family,A Model Family: Season 1,1
Japan,JP,2022-08-21,TV,5,ONE PIECE,ONE PIECE: East Blue,3
Japan,JP,2022-08-21,TV,6,Café Minamdang,Café Minamdang: Season 1,5
Japan,JP,2022-08-21,TV,7,Roppongi Class,Roppongi Class: Season 1,5
Japan,JP,2022-08-21,TV,8,Crash Landing on You,Crash Landing on You: Season 1,59
Japan,JP,2022-08-21,TV,9,ONE PIECE,ONE PIECE: Wano Country (Ep.892 - Ep.1000),8
Japan,JP,2022-08-21,TV,10,Remarriage & Desires,Remarriage & Desires: Season 1,6
Japan,JP,2022-08-14,Films,1,Carter,,2
Japan,JP,2022-08-14,Films,2,Leaving the Scene,,1
Japan,JP,2022-08-14,Films,3,The Hunt,,1
Japan,JP,2022-08-14,Films,4,Day Shift,,1
Japan,JP,2022-08-14,Films,5,The Meg,,2
Japan,JP,2022-08-14,Films,6,The Gray Man,,4
Japan,JP,2022-08-14,Films,7,Top Gun,,2
Japan,JP,2022-08-14,Films,8,Rampage,,2
Japan,JP,2022-08-14,Films,9,Purple Hearts,,3
Japan,JP,2022-08-14,Films,10,Gone Wednesday,,1
Japan,JP,2022-08-14,TV,1,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,6
Japan,JP,2022-08-14,TV,2,Alchemy of Souls,Alchemy of Souls: Season 1,8
Japan,JP,2022-08-14,TV,3,Itaewon Class,Itaewon Class: Season 1,55
Japan,JP,2022-08-14,TV,4,ONE PIECE,ONE PIECE: East Blue,2
Japan,JP,2022-08-14,TV,5,Roppongi Class,Roppongi Class: Season 1,4
Japan,JP,2022-08-14,TV,6,Café Minamdang,Café Minamdang: Season 1,4
Japan,JP,2022-08-14,TV,7,Crash Landing on You,Crash Landing on You: Season 1,58
Japan,JP,2022-08-14,TV,8,Remarriage & Desires,Remarriage & Desires: Season 1,5
Japan,JP,2022-08-14,TV,9,The Sandman,The Sandman: Season 1,1
Japan,JP,2022-08-14,TV,10,ONE PIECE,ONE PIECE: Wano Country (Ep.892 - Ep.1000),7
Japan,JP,2022-08-07,Films,1,The Gray Man,,3
Japan,JP,2022-08-07,Films,2,The Meg,,1
Japan,JP,2022-08-07,Films,3,Purple Hearts,,2
Japan,JP,2022-08-07,Films,4,Carter,,1
Japan,JP,2022-08-07,Films,5,Rampage,,1
Japan,JP,2022-08-07,Films,6,Nisekoi: False Love,,1
Japan,JP,2022-08-07,Films,7,Stolen Identity 2,,1
Japan,JP,2022-08-07,Films,8,Kingdom,,4
Japan,JP,2022-08-07,Films,9,Gintama: The Very Final,,1
Japan,JP,2022-08-07,Films,10,Top Gun,,1
Japan,JP,2022-08-07,TV,1,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,5
Japan,JP,2022-08-07,TV,2,Alchemy of Souls,Alchemy of Souls: Season 1,7
Japan,JP,2022-08-07,TV,3,Itaewon Class,Itaewon Class: Season 1,54
Japan,JP,2022-08-07,TV,4,Remarriage & Desires,Remarriage & Desires: Season 1,4
Japan,JP,2022-08-07,TV,5,Roppongi Class,Roppongi Class: Season 1,3
Japan,JP,2022-08-07,TV,6,Café Minamdang,Café Minamdang: Season 1,3
Japan,JP,2022-08-07,TV,7,Crash Landing on You,Crash Landing on You: Season 1,57
Japan,JP,2022-08-07,TV,8,Stranger Things,Stranger Things 4,11
Japan,JP,2022-08-07,TV,9,SPY x FAMILY,SPY x FAMILY: Season 1,17
Japan,JP,2022-08-07,TV,10,ONE PIECE,ONE PIECE: East Blue,1
Japan,JP,2022-07-31,Films,1,The Gray Man,,2
Japan,JP,2022-07-31,Films,2,Kingdom,,3
Japan,JP,2022-07-31,Films,3,Howling Village,,1
Japan,JP,2022-07-31,Films,4,I'm Underage But I'm Not a Child,,1
Japan,JP,2022-07-31,Films,5,Despicable Me 2,,2
Japan,JP,2022-07-31,Films,6,Minions,,3
Japan,JP,2022-07-31,Films,7,Purple Hearts,,1
Japan,JP,2022-07-31,Films,8,Incantation,,4
Japan,JP,2022-07-31,Films,9,Despicable Me,,2
Japan,JP,2022-07-31,Films,10,The Sea Beast,,3
Japan,JP,2022-07-31,TV,1,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,4
Japan,JP,2022-07-31,TV,2,Itaewon Class,Itaewon Class: Season 1,53
Japan,JP,2022-07-31,TV,3,Alchemy of Souls,Alchemy of Souls: Season 1,6
Japan,JP,2022-07-31,TV,4,Remarriage & Desires,Remarriage & Desires: Season 1,3
Japan,JP,2022-07-31,TV,5,Stranger Things,Stranger Things 4,10
Japan,JP,2022-07-31,TV,6,Roppongi Class,Roppongi Class: Season 1,2
Japan,JP,2022-07-31,TV,7,Café Minamdang,Café Minamdang: Season 1,2
Japan,JP,2022-07-31,TV,8,Crash Landing on You,Crash Landing on You: Season 1,56
Japan,JP,2022-07-31,TV,9,Resident Evil,Resident Evil: Season 1,3
Japan,JP,2022-07-31,TV,10,SPY x FAMILY,SPY x FAMILY: Season 1,16
Japan,JP,2022-07-24,Films,1,Kingdom,,2
Japan,JP,2022-07-24,Films,2,The Gray Man,,1
Japan,JP,2022-07-24,Films,3,Incantation,,3
Japan,JP,2022-07-24,Films,4,Honey,,2
Japan,JP,2022-07-24,Films,5,The Sea Beast,,2
Japan,JP,2022-07-24,Films,6,Minions,,2
Japan,JP,2022-07-24,Films,7,Kaiji: Final Game,,2
Japan,JP,2022-07-24,Films,8,Despicable Me 2,,1
Japan,JP,2022-07-24,Films,9,Despicable Me,,1
Japan,JP,2022-07-24,Films,10,Persuasion,,1
Japan,JP,2022-07-24,TV,1,Remarriage & Desires,Remarriage & Desires: Season 1,2
Japan,JP,2022-07-24,TV,2,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,3
Japan,JP,2022-07-24,TV,3,Itaewon Class,Itaewon Class: Season 1,52
Japan,JP,2022-07-24,TV,4,Resident Evil,Resident Evil: Season 1,2
Japan,JP,2022-07-24,TV,5,Alchemy of Souls,Alchemy of Souls: Season 1,5
Japan,JP,2022-07-24,TV,6,Stranger Things,Stranger Things 4,9
Japan,JP,2022-07-24,TV,7,SPY x FAMILY,SPY x FAMILY: Season 1,15
Japan,JP,2022-07-24,TV,8,Crash Landing on You,Crash Landing on You: Season 1,55
Japan,JP,2022-07-24,TV,9,Roppongi Class,Roppongi Class: Season 1,1
Japan,JP,2022-07-24,TV,10,Café Minamdang,Café Minamdang: Season 1,1
Japan,JP,2022-07-17,Films,1,Incantation,,2
Japan,JP,2022-07-17,Films,2,The Sea Beast,,1
Japan,JP,2022-07-17,Films,3,Kaiji: Final Game,,1
Japan,JP,2022-07-17,Films,4,Kingdom,,1
Japan,JP,2022-07-17,Films,5,Honey,,1
Japan,JP,2022-07-17,Films,6,The Cinderella Addiction,,3
Japan,JP,2022-07-17,Films,7,SP: The Motion Picture Episode VI<The Final Episode>,,4
Japan,JP,2022-07-17,Films,8,Man on a Ledge,,1
Japan,JP,2022-07-17,Films,9,The Eternal Zero,,2
Japan,JP,2022-07-17,Films,10,Minions,,1
Japan,JP,2022-07-17,TV,1,Itaewon Class,Itaewon Class: Season 1,51
Japan,JP,2022-07-17,TV,2,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,2
Japan,JP,2022-07-17,TV,3,Alchemy of Souls,Alchemy of Souls: Season 1,4
Japan,JP,2022-07-17,TV,4,Resident Evil,Resident Evil: Season 1,1
Japan,JP,2022-07-17,TV,5,Stranger Things,Stranger Things 4,8
Japan,JP,2022-07-17,TV,6,Remarriage & Desires,Remarriage & Desires: Season 1,1
Japan,JP,2022-07-17,TV,7,Manifest,Manifest: Season 1,2
Japan,JP,2022-07-17,TV,8,SPY x FAMILY,SPY x FAMILY: Season 1,14
Japan,JP,2022-07-17,TV,9,Crash Landing on You,Crash Landing on You: Season 1,54
Japan,JP,2022-07-17,TV,10,Oh My Baby,Oh My Baby: Season 1,2
Japan,JP,2022-07-10,Films,1,The Cinderella Addiction,,2
Japan,JP,2022-07-10,Films,2,Snake Eyes: G.I. Joe Origins,,2
Japan,JP,2022-07-10,Films,3,Incantation,,1
Japan,JP,2022-07-10,Films,4,The Eternal Zero,,1
Japan,JP,2022-07-10,Films,5,Deep Blue Sea 2,,2
Japan,JP,2022-07-10,Films,6,Case 39,,1
Japan,JP,2022-07-10,Films,7,SP: The Motion Picture Episode VI<The Final Episode>,,3
