country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
United States,US,2022-08-21,Films,1,Day Shift,,2
United States,US,2022-08-21,Films,2,Look Both Ways,,1
United States,US,2022-08-21,Films,3,Untold: The Girlfriend Who Didn't Exist,,1
United States,US,2022-08-21,Films,4,Uncharted,,3
United States,US,2022-08-21,Films,5,Sing 2,,9
United States,US,2022-08-21,Films,6,Purple Hearts,,4
United States,US,2022-08-21,Films,7,The Next 365 Days,,1
United States,US,2022-08-21,Films,8,The Informer,,2
United States,US,2022-08-21,Films,9,The Gray Man,,5
United States,US,2022-08-21,Films,10,Endless Love,,1
United States,US,2022-08-21,TV,1,The Sandman,The Sandman: Season 1,3
United States,US,2022-08-21,TV,2,Never Have I Ever,Never Have I Ever: Season 3,2
United States,US,2022-08-21,TV,3,Echoes,Echoes: Limited Series,1
United States,US,2022-08-21,TV,4,Stranger Things,Stranger Things 4,13
United States,US,2022-08-21,TV,5,Locke & Key,Locke & Key: Season 3,2
United States,US,2022-08-21,TV,6,Virgin River,Virgin River: Season 4,5
United States,US,2022-08-21,TV,7,Instant Dream Home,Instant Dream Home: Season 1,1
United States,US,2022-08-21,TV,8,Riverdale,Riverdale: Season 6,2
United States,US,2022-08-21,TV,9,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,2
United States,US,2022-08-21,TV,10,High Heat,High Heat: Season 1,1
United States,US,2022-08-14,Films,1,Uncharted,,2
United States,US,2022-08-14,Films,2,Day Shift,,1
United States,US,2022-08-14,Films,3,Purple Hearts,,3
United States,US,2022-08-14,Films,4,The Informer,,1
United States,US,2022-08-14,Films,5,Sing 2,,8
United States,US,2022-08-14,Films,6,Flight,,1
United States,US,2022-08-14,Films,7,The Gray Man,,4
United States,US,2022-08-14,Films,8,The Nice Guys,,1
United States,US,2022-08-14,Films,9,Wedding Season,,2
United States,US,2022-08-14,Films,10,Carter,,2
United States,US,2022-08-14,TV,1,The Sandman,The Sandman: Season 1,2
United States,US,2022-08-14,TV,2,Never Have I Ever,Never Have I Ever: Season 3,1
United States,US,2022-08-14,TV,3,I Just Killed My Dad,I Just Killed My Dad: Season 1,1
United States,US,2022-08-14,TV,4,Locke & Key,Locke & Key: Season 3,1
United States,US,2022-08-14,TV,5,Virgin River,Virgin River: Season 4,4
United States,US,2022-08-14,TV,6,Stranger Things,Stranger Things 4,12
United States,US,2022-08-14,TV,7,Riverdale,Riverdale: Season 6,1
United States,US,2022-08-14,TV,8,Trainwreck: Woodstock '99,Trainwreck: Woodstock '99: Season 1,2
United States,US,2022-08-14,TV,9,Indian Matchmaking,Indian Matchmaking: Season 2,1
United States,US,2022-08-14,TV,10,Keep Breathing,Keep Breathing: Limited Series,3
United States,US,2022-08-07,Films,1,Purple Hearts,,2
United States,US,2022-08-07,Films,2,Uncharted,,1
United States,US,2022-08-07,Films,3,The Gray Man,,3
United States,US,2022-08-07,Films,4,The Age of Adaline,,1
United States,US,2022-08-07,Films,5,Men in Black 3,,1
United States,US,2022-08-07,Films,6,Tower Heist,,1
United States,US,2022-08-07,Films,7,Sing 2,,7
United States,US,2022-08-07,Films,8,Wedding Season,,1
United States,US,2022-08-07,Films,9,Spider-Man 2,,1
United States,US,2022-08-07,Films,10,Carter,,1
United States,US,2022-08-07,TV,1,The Sandman,The Sandman: Season 1,1
United States,US,2022-08-07,TV,2,Virgin River,Virgin River: Season 4,3
United States,US,2022-08-07,TV,3,Keep Breathing,Keep Breathing: Limited Series,2
United States,US,2022-08-07,TV,4,Stranger Things,Stranger Things 4,11
United States,US,2022-08-07,TV,5,Trainwreck: Woodstock '99,Trainwreck: Woodstock '99: Season 1,1
United States,US,2022-08-07,TV,6,Uncoupled,Uncoupled: Season 1,1
United States,US,2022-08-07,TV,7,Alone,Alone: Season 8,5
United States,US,2022-08-07,TV,8,The Most Hated Man on the Internet,The Most Hated Man on the Internet: Limited Series,2
United States,US,2022-08-07,TV,9,Stranger Things,Stranger Things 3,11
United States,US,2022-08-07,TV,10,Extraordinary Attorney Woo,Extraordinary Attorney Woo: Season 1,1
United States,US,2022-07-31,Films,1,The Gray Man,,2
United States,US,2022-07-31,Films,2,Purple Hearts,,1
United States,US,2022-07-31,Films,3,Sing 2,,6
United States,US,2022-07-31,Films,4,The Sea Beast,,4
United States,US,2022-07-31,Films,5,Recurrence,,1
United States,US,2022-07-31,Films,6,The Man from Toronto,,6
United States,US,2022-07-31,Films,7,Persuasion,,3
United States,US,2022-07-31,Films,8,12 Strong,,3
United States,US,2022-07-31,Films,9,Shania Twain: Not Just a Girl,,1
United States,US,2022-07-31,Films,10,Too Old for Fairy Tales,,1
United States,US,2022-07-31,TV,1,Virgin River,Virgin River: Season 4,2
United States,US,2022-07-31,TV,2,Stranger Things,Stranger Things 4,10
United States,US,2022-07-31,TV,3,Keep Breathing,Keep Breathing: Limited Series,1
United States,US,2022-07-31,TV,4,The Most Hated Man on the Internet,The Most Hated Man on the Internet: Limited Series,1
United States,US,2022-07-31,TV,5,Alone,Alone: Season 8,4
United States,US,2022-07-31,TV,6,Resident Evil,Resident Evil: Season 1,3
United States,US,2022-07-31,TV,7,Stranger Things,Stranger Things 3,10
United States,US,2022-07-31,TV,8,Stranger Things,Stranger Things 2,10
United States,US,2022-07-31,TV,9,Virgin River,Virgin River: Season 1,4
United States,US,2022-07-31,TV,10,All American: Homecoming,All American: Homecoming: Season 1,3
United States,US,2022-07-24,Films,1,The Gray Man,,1
United States,US,2022-07-24,Films,2,Sing 2,,5
United States,US,2022-07-24,Films,3,The Sea Beast,,3
United States,US,2022-07-24,Films,4,Persuasion,,2
United States,US,2022-07-24,Films,5,CHIPS,,2
