country_name,country_iso2,week,category,weekly_rank,show_title,season_title,cumulative_weeks_in_top_10
United Kingdom,GB,2022-08-21,Films,1,Day Shift,,2
United Kingdom,GB,2022-08-21,Films,2,Look Both Ways,,1
United Kingdom,GB,2022-08-21,Films,3,Untold: The Girlfriend Who Didn't Exist,,1
United Kingdom,GB,2022-08-21,Films,4,The Next 365 Days,,1
United Kingdom,GB,2022-08-21,Films,5,Purple Hearts,,4
United Kingdom,GB,2022-08-21,Films,6,The Gray Man,,5
United Kingdom,GB,2022-08-21,Films,7,Repo Men,,1
United Kingdom,GB,2022-08-21,Films,8,The Mummy,,1
United Kingdom,GB,2022-08-21,Films,9,Peter Rabbit,,1
United Kingdom,GB,2022-08-21,Films,10,Barbie in a Mermaid Tale,,1
United Kingdom,GB,2022-08-21,TV,1,The Sandman,The Sandman: Season 1,3
United Kingdom,GB,2022-08-21,TV,2,Never Have I Ever,Never Have I Ever: Season 3,2
United Kingdom,GB,2022-08-21,TV,3,Stranger Things,Stranger Things 4,13
United Kingdom,GB,2022-08-21,TV,4,Better Call Saul,Better Call Saul: Season 6,10
United Kingdom,GB,2022-08-21,TV,5,Locke & Key,Locke & Key: Season 3,2
United Kingdom,GB,2022-08-21,TV,6,Echoes,Echoes: Limited Series,1
United Kingdom,GB,2022-08-21,TV,7,Virgin River,Virgin River: Season 4,5
United Kingdom,GB,2022-08-21,TV,8,I Just Killed My Dad,I Just Killed My Dad: Season 1,2
United Kingdom,GB,2022-08-21,TV,9,Never Have I Ever,Never Have I Ever: Season 1,2
United Kingdom,GB,2022-08-21,TV,10,Never Have I Ever,Never Have I Ever: Season 2,4
United Kingdom,GB,2022-08-14,Films,1,Day Shift,,1
United Kingdom,GB,2022-08-14,Films,2,Purple Hearts,,3
United Kingdom,GB,2022-08-14,Films,3,The Gray Man,,4
United Kingdom,GB,2022-08-14,Films,4,The Wedding Date,,1
United Kingdom,GB,2022-08-14,Films,5,Wedding Season,,2
United Kingdom,GB,2022-08-14,Films,6,Carter,,2
United Kingdom,GB,2022-08-14,Films,7,Rogue Agent,,3
United Kingdom,GB,2022-08-14,Films,8,The Sea Beast,,6
United Kingdom,GB,2022-08-14,Films,9,The Hitman's Wife's Bodyguard,,3
United Kingdom,GB,2022-08-14,Films,10,Darlings,,1
United Kingdom,GB,2022-08-14,TV,1,The Sandman,The Sandman: Season 1,2
United Kingdom,GB,2022-08-14,TV,2,Never Have I Ever,Never Have I Ever: Season 3,1
United Kingdom,GB,2022-08-14,TV,3,Stranger Things,Stranger Things 4,12
United Kingdom,GB,2022-08-14,TV,4,I Just Killed My Dad,I Just Killed My Dad: Season 1,1
